G1G48-2754-MONOMER	G1G48-2754	Q5LPY8	carnitine dehydratase	
G1G48-3166-MONOMER	G1G48-3166	Q5LNT7	Holliday junction branch migration protein RuvA	
G1G48-3245-MONOMER	G1G48-3245	Q5LNK8	class II histone deacetylase	
G1G48-2984-MONOMER	G1G48-2984	Q5LPB3	hypothetical protein	
G1G48-4113-MONOMER	G1G48-4113	Q5LL85	hypothetical protein	
G1G48-1113-MONOMER	G1G48-1113	Q5LUG0	methylmalonyl-CoA carboxyltransferase	
G1G48-1042-MONOMER	G1G48-1042	Q5LUM0	hypothetical protein	
G1G48-436-MONOMER	G1G48-436	Q5LWB3	MBL fold hydrolase	
G1G48-1511-MONOMER	G1G48-1511	Q5LTD4	short-chain dehydrogenase	
G1G48-1569-MONOMER	G1G48-1569	Q5LT77	twin-arginine translocation pathway signal sequence domain-containing protein	
G1G48-1336-MONOMER	G1G48-1336	Q5LTV4	hypothetical protein	
G1G48-463-MONOMER	G1G48-463		hypothetical protein	
G1G48-4115-MONOMER	G1G48-4115	Q5LL83	serine--glyoxylate aminotransferase	
G1G48-3874-MONOMER	G1G48-3874	Q5LLV7	hypothetical protein	
G1G48-3345-MONOMER	G1G48-3345		ABC transporter ATP-binding protein	
G1G48-3343-MONOMER	G1G48-3343	Q5LNB9	hypothetical protein	
G1G48-2937-MONOMER	G1G48-2937	Q5LPG0	hypothetical protein	
G1G48-619-MONOMER	G1G48-619	Q5LVT4	ABC transporter permease	
G1G48-570-MONOMER	G1G48-570	Q5LVY2	glutathione S-transferase	
G1G48-309-MONOMER	G1G48-309	Q5LX94	hypothetical protein	
G1G48-413-MONOMER	G1G48-413	Q5LWD6	RNA polymerase factor sigma-32	
G1G48-3498-MONOMER	G1G48-3498	Q5LMW6	thiol-disulfide oxidoreductase	
G1G48-3247-MONOMER	G1G48-3247	Q5LNK6	META domain-containing protein	
G1G48-1062-MONOMER	G1G48-1062		hypothetical protein	
G1G48-305-MONOMER	G1G48-305	Q5LX80	hypothetical protein	
G1G48-2945-MONOMER	G1G48-2945	Q5LPF2	Na+/H+ antiporter subunit E	
G1G48-41-MONOMER	G1G48-41	Q5LWJ8	hypothetical protein	
CPLX1G48-22			predicted ABC transporter of a branched-chain amino acid	
G1G48-1985-MONOMER	G1G48-1985	Q5LS23	two-component sensor histidine kinase	
G1G48-3277-MONOMER	G1G48-3277	Q5LNH8	hypothetical protein	
G1G48-2654-MONOMER	G1G48-2654	Q5LQ86	alcohol dehydrogenase	
G1G48-9-MONOMER	G1G48-9	Q5LWF5	heat-inducible transcriptional repressor HrcA	HrcA
G1G48-1143-MONOMER	G1G48-1143		lipoprotein-releasing system transmembrane subunit LolC	
G1G48-2968-MONOMER	G1G48-2968	Q5LPC8	3-hydroxyacyl-CoA dehydrogenase	
G1G48-201-MONOMER	G1G48-201		hypothetical protein	
G1G48-391-MONOMER	G1G48-391	Q5LXG8	hypothetical protein	
G1G48-645-MONOMER	G1G48-645	Q5LVR6	lactate dehydrogenase	
G1G48-4287-MONOMER	G1G48-4287		hypothetical protein	
G1G48-2831-MONOMER	G1G48-2831		hypothetical protein	
G1G48-1097-MONOMER	G1G48-1097	Q5LUH6	ArgP/LysG family DNA-binding transcriptional regulator	
G1G48-1877-MONOMER	G1G48-1877	Q5LSC8	N-acetylmuramic acid 6-phosphate etherase	
G1G48-2877-MONOMER	G1G48-2877	Q5LPM1	isoquinoline 1-oxidoreductase	
G1G48-780-MONOMER	G1G48-780		hypothetical protein	
G1G48-4050-MONOMER	G1G48-4050		hypothetical protein	
G1G48-4344-MONOMER	G1G48-4344	Q5LKL5	amino acid permease	
G1G48-2551-MONOMER	G1G48-2551		hypothetical protein	
G1G48-1217-MONOMER	G1G48-1217		UDP-N-acetylmuramate--alanine ligase	
G1G48-2183-MONOMER	G1G48-2183	Q5LRI3	peptidyl-prolyl cis-trans isomerase	
G1G48-921-MONOMER	G1G48-921		pyrroline-5-carboxylate reductase	
G1G48-3503-MONOMER	G1G48-3503	Q5LMW1	DNA modification methylase	
G1G48-763-MONOMER	G1G48-763	Q5LVE9	phenylacetic acid degradation protein	
G1G48-2513-MONOMER	G1G48-2513	Q5LQL8	hypothetical protein	
G1G48-2352-MONOMER	G1G48-2352	Q5LR17	transcriptional regulator	
G1G48-292-MONOMER	G1G48-292		hypothetical protein	
G1G48-3275-MONOMER	G1G48-3275	Q5LNI0	cobalamin biosynthesis protein CobD	
G1G48-4209-MONOMER	G1G48-4209	Q5LKZ1	C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-2501-MONOMER	G1G48-2501	Q5LQN0	ribosomal RNA small subunit methyltransferase A	
G1G48-744-MONOMER	G1G48-744	Q5LVG8	PaaX family transcriptional regulator	
G1G48-4219-MONOMER	G1G48-4219	Q5LKY1	hypothetical protein	
G1G48-535-MONOMER	G1G48-535	Q5LW15	membrane protein	
G1G48-4197-MONOMER	G1G48-4197	Q5LL03	protein nirH	
G1G48-2311-MONOMER	G1G48-2311	Q5LR57	acyl carrier protein	
G1G48-318-MONOMER	G1G48-318	Q5LXA5	hypothetical protein	
G1G48-3417-MONOMER	G1G48-3417	Q5LN47	manganese ABC transporter ATP-binding protein	
G1G48-603-MONOMER	G1G48-603	Q5LVV0	R or S-dihydroxypropanesulfonate-2-dehydrogenase	
G1G48-1753-MONOMER	G1G48-1753	Q5LSP7	resolvase	
G1G48-528-MONOMER	G1G48-528	Q5LW22	amino acid ABC transporter permease	
G1G48-2008-MONOMER	G1G48-2008	Q5LS00	phosphoglycerate kinase	
CPLX1G48-4			predicted ABC transporter of Zn2+	
G1G48-523-MONOMER	G1G48-523	Q5LW27	pseudouridine synthase	
CPLX1G48-14			predicted ABC transporter of a branched-chain amino acid	
G1G48-2835-MONOMER	G1G48-2835	Q5LPR3	NADH-quinone oxidoreductase subunit A	
G1G48-183-MONOMER	G1G48-183	Q3V7J7	flagellar biosynthesis protein FliQ	
G1G48-2343-MONOMER	G1G48-2343	Q5LR25	hypothetical protein	
G1G48-2623-MONOMER	G1G48-2623	Q3V7J4	acetolactate synthase 3 large subunit	
G1G48-2260-MONOMER	G1G48-2260		VWA domain-containing protein	
G1G48-2702-MONOMER	G1G48-2702	Q5LQ40	LysR family transcriptional regulator	
G1G48-2326-MONOMER	G1G48-2326	Q5LR42	porin	
G1G48-977-MONOMER	G1G48-977	Q5LUT3	aquaporin	
CPLX1G48-49			predicted ABC transporter of a C4-dicarboxylate	
G1G48-1310-MONOMER	G1G48-1310	Q5LTX8	threonine--tRNA ligase	
CPLX1G48-19			predicted ABC transporter of a branched-chain amino acid	
G1G48-1943-MONOMER	G1G48-1943	Q5LS61	chromate transporter	
G1G48-3549-MONOMER	G1G48-3549	Q5LMR7	large-conductance mechanosensitive channel	
G1G48-3659-MONOMER	G1G48-3659	Q5LMG1	alkaline phosphatase	
G1G48-4117-MONOMER	G1G48-4117	Q5LL81	alanine racemase	
G1G48-1300-MONOMER	G1G48-1300		hypothetical protein	
G1G48-1122-MONOMER	G1G48-1122		hypothetical protein	
G1G48-3526-MONOMER	G1G48-3526		polyamine ABC transporter ATP-binding protein	
G1G48-3510-MONOMER	G1G48-3510	Q5LMV6	flagellar protein	
G1G48-269-MONOMER	G1G48-269	Q5LX44	CoA transferase	
G1G48-19-MONOMER	G1G48-19	Q5LWG2	hypothetical protein	
G1G48-1881-MONOMER	G1G48-1881	Q5LSC4	N-acetylglucosamine-6-phosphate deacetylase	
G1G48-3742-MONOMER	G1G48-3742	Q5LM79	hypothetical protein	
G1G48-1137-MONOMER	G1G48-1137	Q5LUD7	exopolyphosphatase	
G1G48-217-MONOMER	G1G48-217	Q5LX09	hypothetical protein	
G1G48-1844-MONOMER	G1G48-1844	Q5LSG1	DNA polymerase III subunit epsilon	
G1G48-1391-MONOMER	G1G48-1391	Q5LTQ2	copper oxidase	
G1G48-3779-MONOMER	G1G48-3779	Q5LM44	aromatic amino acid aminotransferase	
G1G48-2380-MONOMER	G1G48-2380	Q5LQZ0	hypothetical protein	
G1G48-3649-MONOMER	G1G48-3649	Q5LMH0	phosphonate monoester hydrolase	
G1G48-2537-MONOMER	G1G48-2537	Q5LQJ4	integration host factor subunit alpha	
G1G48-1626-MONOMER	G1G48-1626	Q5LT20	mandelate racemase	
G1G48-1129-MONOMER	G1G48-1129		hypothetical protein	
G1G48-4345-MONOMER	G1G48-4345	Q5LKL4	ABC transporter permease	
G1G48-25-MONOMER	G1G48-25		coenzyme A pyrophosphatase	
G1G48-1620-MONOMER	G1G48-1620	Q5LT26	sarcosine oxidase subunit beta	
G1G48-3076-MONOMER	G1G48-3076		strictosidine synthase	
G1G48-4078-MONOMER	G1G48-4078	Q5LLB9	MarR family transcriptional regulator	
G1G48-608-MONOMER	G1G48-608	Q5LVU5	carboxynorspermidine decarboxylase	
G1G48-1614-MONOMER	G1G48-1614	Q5LT32	hypothetical protein	
G1G48-30-MONOMER	G1G48-30	F7IVA8	voltage-gated sodium channel	
G1G48-3184-MONOMER	G1G48-3184	Q5LNR9	methylated-DNA--protein-cysteine methyltransferase	
G1G48-1296-MONOMER	G1G48-1296	Q5LTZ2	hypothetical protein	
G1G48-229-MONOMER	G1G48-229	Q5LX15	MarR family transcriptional regulator	
G1G48-254-MONOMER	G1G48-254		exodeoxyribonuclease VII small subunit	
G1G48-1151-MONOMER	G1G48-1151		glycine/betaine ABC transporter substrate-binding protein	
G1G48-2450-MONOMER	G1G48-2450	Q5LQT0	hypothetical protein	
G1G48-588-MONOMER	G1G48-588	Q5LVW4	TIGR03084 family protein	
G1G48-1743-MONOMER	G1G48-1743		urea ABC transporter substrate-binding protein	
G1G48-90-MONOMER	G1G48-90	Q5LWP0	peptidase M75	
G1G48-501-MONOMER	G1G48-501	Q5LW49	30S ribosomal protein S17	
G1G48-1573-MONOMER	G1G48-1573	Q5LT73	LysR family transcriptional regulator	
G1G48-4249-MONOMER	G1G48-4249	Q5LKV2	alpha/beta hydrolase	
G1G48-379-MONOMER	G1G48-379	Q5LXF4	autoinducer synthase	
G1G48-2809-MONOMER	G1G48-2809	Q5LPU0	DNA mismatch repair protein MutT	
G1G48-1130-MONOMER	G1G48-1130	Q5LUE4	LysR family transcriptional regulator	
G1G48-1668-MONOMER	G1G48-1668	Q5LSX8	protease	
G1G48-464-MONOMER	G1G48-464	Q5LW85	DUF4864 domain-containing protein	
G1G48-134-MONOMER	G1G48-134	Q5LWT6	isopentenyl-diphosphate Delta-isomerase	
G1G48-2385-MONOMER	G1G48-2385	Q5LQY6	sarcosine oxidase subunit delta	
G1G48-876-MONOMER	G1G48-876	Q5LV36	gamma-glutamyltransferase	
G1G48-1009-MONOMER	G1G48-1009	Q5LUQ3	cytochrome c	
G1G48-244-MONOMER	G1G48-244		glycerol-3-phosphate transporter permease	
G1G48-4030-MONOMER	G1G48-4030	Q5LLF4	low molecular weight phosphatase family protein	
G1G48-108-MONOMER	G1G48-108	Q5LWQ8	DNA helicase RecQ	
G1G48-3540-MONOMER	G1G48-3540	Q5LMS6	hypothetical protein	
G1G48-382-MONOMER	G1G48-382		anion permease	
G1G48-2317-MONOMER	G1G48-2317		hypothetical protein	
G1G48-3108-MONOMER	G1G48-3108	Q5LNZ3	hypothetical protein	
G1G48-2485-MONOMER	G1G48-2485	Q5LQP6	glycine/betaine ABC transporter permease	
G1G48-3471-MONOMER	G1G48-3471		2-octaprenyl-6-methoxyphenyl hydroxylase	
CPLX1G48-13			predicted ABC transporter of a branched-chain amino acid	
G1G48-1273-MONOMER	G1G48-1273	Q5LU12	glycosyl transferase	
G1G48-4137-MONOMER	G1G48-4137	Q5LL61	C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-1840-MONOMER	G1G48-1840	Q5LSG5	sodium:proton antiporter	
G1G48-1164-MONOMER	G1G48-1164	Q5LUB0	universal stress protein UspA	
G1G48-4346-MONOMER	G1G48-4346	Q5LKL3	copper oxidase	
G1G48-2703-MONOMER	G1G48-2703		D-cysteine desulfhydrase	
G1G48-3153-MONOMER	G1G48-3153	Q5LNV0	formate--tetrahydrofolate ligase	
G1G48-3720-MONOMER	G1G48-3720	Q5LMA0	C4-dicarboxylate ABC transporter permease	
G1G48-1999-MONOMER	G1G48-1999	Q5LS09	IclR family transcriptional regulator	
G1G48-2372-MONOMER	G1G48-2372		metal ABC transporter permease	
G1G48-2690-MONOMER	G1G48-2690		hypothetical protein	
G1G48-4412-MONOMER	G1G48-4412	Q5LKE6	serine/threonine dehydratase	
G1G48-2305-MONOMER	G1G48-2305	Q5LR63	hypothetical protein	
G1G48-1562-MONOMER	G1G48-1562	Q5LT83	hypothetical protein	
G1G48-3555-MONOMER	G1G48-3555	Q5LMR3	30S ribosomal protein S7	
G1G48-2106-MONOMER	G1G48-2106	Q5LRQ7	transcriptional regulator	
G1G48-3525-MONOMER	G1G48-3525	Q5LMU1	aspartate aminotransferase family protein	
G1G48-1483-MONOMER	G1G48-1483	Q5LTG2	oxidoreductase	
G1G48-3657-MONOMER	G1G48-3657	Q5LMG3	pyruvate kinase	
G1G48-4154-MONOMER	G1G48-4154	Q5LL45	cytochrome c oxidase subunit I	
G1G48-2029-MONOMER	G1G48-2029	Q5LRX8	hypothetical protein	
G1G48-2094-MONOMER	G1G48-2094	Q5LRR9	thiamine phosphate synthase	
G1G48-2565-MONOMER	G1G48-2565	Q5LQG8	hypothetical protein	
G1G48-2938-MONOMER	G1G48-2938	Q5LPF9	glucan biosynthesis protein G	
G1G48-2556-MONOMER	G1G48-2556		ATP-dependent transcriptional regulator	
G1G48-4172-MONOMER	G1G48-4172	Q5LL27	histidinol dehydrogenase	
G1G48-4265-MONOMER	G1G48-4265	Q5LKT6	CDP-diacylglycerol--serine O-phosphatidyltransferase	
G1G48-4421-MONOMER	G1G48-4421	Q5LKD6	transcriptional repressor	
G1G48-1675-MONOMER	G1G48-1675	Q5LSX1	selenium-binding protein	
G1G48-2966-MONOMER	G1G48-2966	Q5LPD0	acetyl-CoA acetyltransferase	
G1G48-1514-MONOMER	G1G48-1514	Q5LTD1	cyclopropane-fatty-acyl-phospholipid synthase	
G1G48-726-MONOMER	G1G48-726	Q5LVI5	acyltransferase	
G1G48-3339-MONOMER	G1G48-3339	Q5LNC3	AMP-dependent synthetase	
G1G48-2971-MONOMER	G1G48-2971	Q5LPC5	membrane protein	
G1G48-4000-MONOMER	G1G48-4000	Q5LLI4	protocatechuate 3,4-dioxygenase subunit alpha	
G1G48-665-MONOMER	G1G48-665		hypothetical protein	
G1G48-4051-MONOMER	G1G48-4051	Q5LLD9	hypothetical protein	
G1G48-1195-MONOMER	G1G48-1195	Q5LU82	phosphodiesterase	
G1G48-699-MONOMER	G1G48-699	Q5LVL1	ATPase	
G1G48-2039-MONOMER	G1G48-2039	Q5LRX0	glycerol-3-phosphate dehydrogenase	
G1G48-518-MONOMER	G1G48-518	Q5LW32	DNA-directed RNA polymerase subunit alpha	
G1G48-3837-MONOMER	G1G48-3837		ABC transporter ATP-binding protein	
G1G48-332-MONOMER	G1G48-332	Q5LXA9	beta-ketoacyl-ACP reductase	
G1G48-3497-MONOMER	G1G48-3497	Q5LMW7	tetraacyldisaccharide 4'-kinase	
CPLX1G48-46			predicted ABC transporter of a C4-dicarboxylate	
G1G48-609-MONOMER	G1G48-609	Q5LVU4	saccharopine dehydrogenase	
G1G48-4015-MONOMER	G1G48-4015	Q5LLG9	glycine cleavage system protein H	
G1G48-3887-MONOMER	G1G48-3887	Q5LLU4	hypothetical protein	
G1G48-3368-MONOMER	G1G48-3368		hypothetical protein	
G1G48-863-MONOMER	G1G48-863	Q5LV49	glycosyl transferase	
G1G48-381-MONOMER	G1G48-381		membrane protein	
G1G48-3230-MONOMER	G1G48-3230	Q5LNM3	ribose 5-phosphate isomerase B	
G1G48-3387-MONOMER	G1G48-3387		glutamine ABC transporter substrate-binding protein	
G1G48-2169-MONOMER	G1G48-2169	Q5LRJ6	cysteine--tRNA ligase	
G1G48-2339-MONOMER	G1G48-2339	Q5LR30	biotin transporter BioY	
G1G48-2999-MONOMER	G1G48-2999		hypothetical protein	
G1G48-800-MONOMER	G1G48-800	Q5LVB2	hypothetical protein	
G1G48-156-MONOMER	G1G48-156	Q5LWV1	amino acid transporter LysE	
G1G48-1436-MONOMER	G1G48-1436	Q5LTL0	MFS transporter	
G1G48-697-MONOMER	G1G48-697	Q5LVL3	MarR family transcriptional regulator	
G1G48-2145-MONOMER	G1G48-2145	Q5LRL8	hypothetical protein	
G1G48-1640-MONOMER	G1G48-1640	Q5LT06	ABC transporter permease	
G1G48-1490-MONOMER	G1G48-1490	Q5LTF5	indolepyruvate ferredoxin subunit alpha	
G1G48-984-MONOMER	G1G48-984	Q5LUS6	ornithine cyclodeaminase/mu-crystallin family protein	
G1G48-3097-MONOMER	G1G48-3097	Q5LP05	peptide ABC transporter permease	
G1G48-3061-MONOMER	G1G48-3061	Q5LP40	inositol monophosphatase	
G1G48-3413-MONOMER	G1G48-3413	Q5LN51	DNA recombination protein RmuC	
G1G48-1935-MONOMER	G1G48-1935	Q5LS69	3-methyladenine DNA glycosylase	
G1G48-3391-MONOMER	G1G48-3391	Q5LN73	bioY family protein	
G1G48-857-MONOMER	G1G48-857	Q5LV55	peptide synthetase	
G1G48-60-MONOMER	G1G48-60	Q5LWL6	bifunctional glutamate N-acetyltransferase/amino-acid N-acetyltransferase	
G1G48-3915-MONOMER	G1G48-3915	Q5LLR7	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	
G1G48-1368-MONOMER	G1G48-1368	Q5LTS4	signal recognition particle-docking protein FtsY	
G1G48-1231-MONOMER	G1G48-1231	Q5LU48	ABC transporter substrate-binding protein	
G1G48-2955-MONOMER	G1G48-2955	Q5LPE2	hypothetical protein	
CPLX1G48-9			predicted ABC transporter of phosphate	
G1G48-2715-MONOMER	G1G48-2715	Q5LQ27	2OG-Fe(II) oxygenase	
G1G48-1855-MONOMER	G1G48-1855		anion permease	
G1G48-4372-MONOMER	G1G48-4372		hypothetical protein	
G1G48-3515-MONOMER	G1G48-3515	Q5LMV1	flagellar protein FlgJ	
G1G48-1690-MONOMER	G1G48-1690		diguanylate cyclase	
G1G48-3905-MONOMER	G1G48-3905		hypothetical protein	
G1G48-4288-MONOMER	G1G48-4288	Q5LKR6	isocitrate dehydrogenase	
G1G48-1918-MONOMER	G1G48-1918	Q5LS86	enoyl-CoA hydratase	
G1G48-2533-MONOMER	G1G48-2533		50S ribosomal protein L34	
G1G48-2349-MONOMER	G1G48-2349		antibiotic biosynthesis monooxygenase	
G1G48-650-MONOMER	G1G48-650	Q5LVR0	alkylhydroperoxidase	
G1G48-4079-MONOMER	G1G48-4079	Q5LLB8	MarR family transcriptional regulator	
G1G48-607-MONOMER	G1G48-607	Q5LVU6	agmatinase	
G1G48-3750-MONOMER	G1G48-3750		C4-dicarboxylate ABC transporter	
G1G48-1108-MONOMER	G1G48-1108	Q5LUG5	hypothetical protein	
G1G48-3767-MONOMER	G1G48-3767	Q5LM54	hypothetical protein	
G1G48-796-MONOMER	G1G48-796	Q5LVB6	thioesterase	
G1G48-4145-MONOMER	G1G48-4145	Q5LL53	molybdenum cofactor biosysynthesis protein	
G1G48-1654-MONOMER	G1G48-1654		cytochrome P450	
G1G48-1774-MONOMER	G1G48-1774		dehalogenase	
G1G48-4234-MONOMER	G1G48-4234	Q5LKW6	C4-dicarboxylate ABC transporter permease	
G1G48-3111-MONOMER	G1G48-3111		hypothetical protein	
G1G48-2054-MONOMER	G1G48-2054	Q5LRV7	hypothetical protein	
G1G48-4156-MONOMER	G1G48-4156	Q5LL43	Rrf2 family transcriptional regulator	
G1G48-326-MONOMER	G1G48-326	Q5LX97	farnesyltranstransferase	
G1G48-2723-MONOMER	G1G48-2723	Q5LQ19	amidophosphoribosyltransferase	
G1G48-2560-MONOMER	G1G48-2560	Q5LQH3	peptidase M48	
G1G48-4347-MONOMER	G1G48-4347	Q5LKL2	copper resistance protein B	
G1G48-3017-MONOMER	G1G48-3017	Q5LP80	glutamyl-tRNA(Gln) amidotransferase subunit A	GatA
G1G48-3608-MONOMER	G1G48-3608	Q5LML1	oxidoreductase	
G1G48-587-MONOMER	G1G48-587	Q5LVW5	monooxygenase	
G1G48-2162-MONOMER	G1G48-2162	Q5LRK3	ribosomal large subunit pseudouridine synthase E	
G1G48-3924-MONOMER	G1G48-3924	Q5LLQ8	hypothetical protein	
G1G48-2519-MONOMER	G1G48-2519	Q5LQL2	hypothetical protein	
G1G48-2085-MONOMER	G1G48-2085	Q5LRS8	6-phosphogluconolactonase	
G1G48-1243-MONOMER	G1G48-1243	Q5LU38	hypothetical protein	
G1G48-4099-MONOMER	G1G48-4099	Q5LL98	short-chain dehydrogenase	
G1G48-3729-MONOMER	G1G48-3729	Q5LM91	hypothetical protein	
G1G48-4390-MONOMER	G1G48-4390	Q5LKG8	ferredoxin	
G1G48-1645-MONOMER	G1G48-1645	Q5LT01	hypothetical protein	
G1G48-2452-MONOMER	G1G48-2452		3-oxoacyl-ACP reductase	
G1G48-1456-MONOMER	G1G48-1456	Q5LTJ0	potassium transporter	
G1G48-3968-MONOMER	G1G48-3968	Q5LLL3	apolipoprotein N-acyltransferase	
G1G48-2897-MONOMER	G1G48-2897		DUF4177 domain-containing protein	
G1G48-1194-MONOMER	G1G48-1194	Q5LU83	hypothetical protein	
G1G48-1792-MONOMER	G1G48-1792	Q5LSL1	sugar ABC transporter substrate-binding protein	
G1G48-684-MONOMER	G1G48-684	Q5LVM6	taurine ABC transporter substrate-binding protein	
G1G48-3838-MONOMER	G1G48-3838	Q5LLY7	ABC transporter ATP-binding protein	
G1G48-2677-MONOMER	G1G48-2677	Q5LQ64	uroporphyrinogen-III C-methyltransferase	
G1G48-1619-MONOMER	G1G48-1619	Q5LT27	sarcosine oxidase subunit delta	
G1G48-128-MONOMER	G1G48-128	Q5LWS5	hypothetical protein	
G1G48-2246-MONOMER	G1G48-2246	Q5LRC1	hypothetical protein	
G1G48-2961-MONOMER	G1G48-2961	Q5LPD6	MerR family transcriptional regulator	
G1G48-3839-MONOMER	G1G48-3839	Q5LLY6	LysR family transcriptional regulator	
G1G48-2011-MONOMER	G1G48-2011	Q5LRZ7	3-dehydroquinate dehydratase type II	
G1G48-2838-MONOMER	G1G48-2838	Q5LPR0	3-methylcrotonyl-CoA carboxylase subunit alpha	
G1G48-2587-MONOMER	G1G48-2587	Q5LQE6	amidohydrolase	
G1G48-2402-MONOMER	G1G48-2402	Q5LQX1	amino acid ABC transporter substrate-binding protein	
G1G48-2658-MONOMER	G1G48-2658	Q5LQ83	endopeptidase La	
G1G48-2662-MONOMER	G1G48-2662	Q5LQ79	paraslipin	
G1G48-2664-MONOMER	G1G48-2664	Q5LQ77	SUF system Fe-S cluster assembly protein	
G1G48-3490-MONOMER	G1G48-3490		hypothetical protein	
G1G48-4188-MONOMER	G1G48-4188	Q5LL12	cytochrome c	
G1G48-1063-MONOMER	G1G48-1063	Q5LUK4	phage integrase site specific recombinase	
G1G48-3023-MONOMER	G1G48-3023	Q5LP75	membrane protein	
G1G48-739-MONOMER	G1G48-739	Q5LVH2	hypothetical protein	
G1G48-781-MONOMER	G1G48-781	Q5LVD1	membrane protein	
G1G48-983-MONOMER	G1G48-983	Q5LUS7	hypothetical protein	
G1G48-2377-MONOMER	G1G48-2377	Q5LQZ2	superoxide dismutase	
G1G48-3328-MONOMER	G1G48-3328		orotidine-5'-phosphate decarboxylase	
G1G48-1830-MONOMER	G1G48-1830	Q5LSH4	formate dehydrogenase subunit gamma	
G1G48-743-MONOMER	G1G48-743	Q5LVG9	alpha/beta hydrolase	
G1G48-750-MONOMER	G1G48-750	Q5LVG2	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase	
G1G48-2570-MONOMER	G1G48-2570	Q5LQG3	6-aminohexanoate-cyclic-dimer hydrolase	
G1G48-922-MONOMER	G1G48-922	Q5LUZ0	tRNA-binding protein	
G1G48-3358-MONOMER	G1G48-3358		hypothetical protein	
G1G48-3306-MONOMER	G1G48-3306	Q5LNE9	50S ribosomal protein L31	
G1G48-3940-MONOMER	G1G48-3940	Q5LLP3	hypothetical protein	
G1G48-908-MONOMER	G1G48-908	Q5LV04	hypothetical protein	
G1G48-2783-MONOMER	G1G48-2783	Q5LPW5	type I restriction-modification system subunit S	
G1G48-1771-MONOMER	G1G48-1771		hypothetical protein	
G1G48-2828-MONOMER	G1G48-2828		hypothetical protein	
G1G48-4195-MONOMER	G1G48-4195	Q5LL05	protein nirD	
G1G48-1833-MONOMER	G1G48-1833	Q5LSH1	twin-arginine translocation pathway signal protein	
G1G48-2024-MONOMER	G1G48-2024	Q5LRY3	N-acetyltransferase	
G1G48-2487-MONOMER	G1G48-2487	Q5LQP4	nucleoside-diphosphate kinase	
G1G48-2732-MONOMER	G1G48-2732	Q5LQ10	peptidase M23	
G1G48-4408-MONOMER	G1G48-4408	Q5LKF0	tetracycline resistance MFS efflux pump	
G1G48-1154-MONOMER	G1G48-1154		NnrU family protein	
G1G48-2836-MONOMER	G1G48-2836	Q5LPR2	enoyl-CoA hydratase	
G1G48-973-MONOMER	G1G48-973	Q5LUT6	2-dehydropantoate 2-reductase	
G1G48-2233-MONOMER	G1G48-2233	Q5LRD5	formimidoylglutamate deiminase	
G1G48-2680-MONOMER	G1G48-2680	Q5LQ61	phosphoadenosine phosphosulfate reductase	
G1G48-1496-MONOMER	G1G48-1496	Q5LTE9	C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-3796-MONOMER	G1G48-3796	Q5LM27	pyridine nucleotide-disulfide oxidoreductase	
G1G48-3626-MONOMER	G1G48-3626	Q5LMJ3	nucleoid-associated protein, YbaB/EbfC family	
G1G48-4289-MONOMER	G1G48-4289		amidohydrolase	
G1G48-203-MONOMER	G1G48-203	Q5LWY9	flagellar M-ring protein FliF	
G1G48-2975-MONOMER	G1G48-2975	Q5LPC1	adenosine deaminase	
G1G48-78-MONOMER	G1G48-78	Q5LWN4	PTS lactose transporter subunit IIC	
G1G48-807-MONOMER	G1G48-807	Q5LVA5	symporter	
G1G48-2581-MONOMER	G1G48-2581	Q5LQF2	acyl-CoA dehydrogenase	
G1G48-3040-MONOMER	G1G48-3040	Q5LP59	nitroreductase	
G1G48-2278-MONOMER	G1G48-2278	Q5LR89	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	
G1G48-1939-MONOMER	G1G48-1939	Q5LS65	amidase	
G1G48-2956-MONOMER	G1G48-2956		dihydroorotate dehydrogenase (quinone)	
G1G48-1970-MONOMER	G1G48-1970	Q5LS38	beta-ACP synthase	
G1G48-1773-MONOMER	G1G48-1773	Q5LSN0	hypothetical protein	
G1G48-274-MONOMER	G1G48-274	Q5LX58	negative transcriptional regulator	
G1G48-3200-MONOMER	G1G48-3200	Q5LNQ3	AraC family transcriptional regulator	
G1G48-3925-MONOMER	G1G48-3925	Q5LLQ7	hypothetical protein	
G1G48-3029-MONOMER	G1G48-3029		hypothetical protein	
CPLX1G48-43			predicted ABC transporter of a C4-dicarboxylate	
G1G48-2495-MONOMER	G1G48-2495	Q5LQN6	DNA polymerase III subunit chi	
G1G48-1676-MONOMER	G1G48-1676	Q5LSX0	ABC transporter ATP-binding protein	
G1G48-2336-MONOMER	G1G48-2336		peptidase M24	
G1G48-2520-MONOMER	G1G48-2520	Q5LQL1	transcriptional repressor	
G1G48-561-MONOMER	G1G48-561	Q5LVZ0	colanic acid biosynthesis glycosyltransferase WcaL	
G1G48-3508-MONOMER	G1G48-3508		hypothetical protein	
G1G48-3412-MONOMER	G1G48-3412	Q5LN52	glycine C-acetyltransferase	
G1G48-2456-MONOMER	G1G48-2456	Q5LQS5	3-oxoacyl-ACP reductase	
